114,P,LH,52,1,105.0494,0.04246,4.4604,91.7,96.1,100.6,105,109.5,114,118.4,2025-05-31 00:00:00,2025-06-01 00:00:00
115,P,LH,53,1,105.6148,0.04259,4.4981,92.1,96.6,101.1,105.6,110.1,114.6,119.1,2025-05-31 00:00:00,2025-06-01 00:00:00
116,P,LH,54,1,106.1748,0.04272,4.5358,92.6,97.1,101.6,106.2,110.7,115.2,119.8,2025-05-31 00:00:00,2025-06-01 00:00:00
117,P,LH,55,1,106.7295,0.04285,4.5734,93,97.6,102.2,106.7,111.3,115.9,120.4,2025-05-31 00:00:00,2025-06-01 00:00:00
118,P,LH,56,1,107.2788,0.04298,4.6108,93.4,98.1,102.7,107.3,111.9,116.5,121.1,2025-05-31 00:00:00,2025-06-01 00:00:00
119,P,LH,57,1,107.8227,0.0431,4.6472,93.9,98.5,103.2,107.8,112.5,117.1,121.8,2025-05-31 00:00:00,2025-06-01 00:00:00
120,P,LH,58,1,108.3613,0.04322,4.6834,94.3,99,103.7,108.4,113,117.7,122.4,2025-05-31 00:00:00,2025-06-01 00:00:00
121,P,LH,59,1,108.8948,0.04334,4.7195,94.7,99.5,104.2,108.9,113.6,118.3,123.1,2025-05-31 00:00:00,2025-06-01 00:00:00
122,P,LH,60,1,109.4233,0.04347,4.7566,95.2,99.9,104.7,109.4,114.2,118.9,123.7,2025-05-31 00:00:00,2025-06-01 00:00:00
123,L,W,0,0.3487,3.3464,0.14602,0,2.1,2.5,2.9,3.3,3.9,4.4,5,2025-05-31 00:00:00,2025-06-01 00:00:00
124,L,W,1,0.2297,4.4709,0.13395,0,2.9,3.4,3.9,4.5,5.1,5.8,6.6,2025-05-31 00:00:00,2025-06-01 00:00:00
125,L,W,2,0.197,5.5675,0.12385,0,3.8,4.3,4.9,5.6,6.3,7.1,8,2025-05-31 00:00:00,2025-06-01 00:00:00
126,L,W,3,0.1738,6.3762,0.11727,0,4.4,5,5.7,6.4,7.2,8,9,2025-05-31 00:00:00,2025-06-01 00:00:00
127,L,W,4,0.1553,7.0023,0.11316,0,4.9,5.6,6.2,7,7.8,8.7,9.7,2025-05-31 00:00:00,2025-06-01 00:00:00
128,L,W,5,0.1395,7.5105,0.1108,0,5.3,6,6.7,7.5,8.4,9.3,10.4,2025-05-31 00:00:00,2025-06-01 00:00:00
129,L,W,6,0.1257,7.934,0.10958,0,5.7,6.4,7.1,7.9,8.8,9.8,10.9,2025-05-31 00:00:00,2025-06-01 00:00:00
130,L,W,7,0.1134,8.297,0.10902,0,5.9,6.7,7.4,8.3,9.2,10.3,11.4,2025-05-31 00:00:00,2025-06-01 00:00:00
131,L,W,8,0.1021,8.6151,0.10882,0,6.2,6.9,7.7,8.6,9.6,10.7,11.9,2025-05-31 00:00:00,2025-06-01 00:00:00
132,L,W,9,0.0917,8.9014,0.10881,0,6.4,7.1,8,8.9,9.9,11,12.3,2025-05-31 00:00:00,2025-06-01 00:00:00
133,L,W,10,0.082,9.1649,0.10891,0,6.6,7.4,8.2,9.2,10.2,11.4,12.7,2025-05-31 00:00:00,2025-06-01 00:00:00
134,L,W,11,0.073,9.4122,0.10906,0,6.8,7.6,8.4,9.4,10.5,11.7,13,2025-05-31 00:00:00,2025-06-01 00:00:00
135,L,W,12,0.0644,9.6479,0.10925,0,6.9,7.7,8.6,9.6,10.8,12,13.3,2025-05-31 00:00:00,2025-06-01 00:00:00
136,L,W,13,0.0563,9.8749,0.10949,0,7.1,7.9,8.8,9.9,11,12.3,13.7,2025-05-31 00:00:00,2025-06-01 00:00:00
137,L,W,14,0.0487,10.0953,0.10976,0,7.2,8.1,9,10.1,11.3,12.6,14,2025-05-31 00:00:00,2025-06-01 00:00:00
138,L,W,15,0.0413,10.3108,0.11007,0,7.4,8.3,9.2,10.3,11.5,12.8,14.3,2025-05-31 00:00:00,2025-06-01 00:00:00
139,L,W,16,0.0343,10.5228,0.11041,0,7.5,8.4,9.4,10.5,11.7,13.1,14.6,2025-05-31 00:00:00,2025-06-01 00:00:00
140,L,W,17,0.0275,10.7319,0.11079,0,7.7,8.6,9.6,10.7,12,13.4,14.9,2025-05-31 00:00:00,2025-06-01 00:00:00
141,L,W,18,0.0211,10.9385,0.11119,0,7.8,8.8,9.8,10.9,12.2,13.7,15.3,2025-05-31 00:00:00,2025-06-01 00:00:00
142,L,W,19,0.0148,11.143,0.11164,0,8,8.9,10,11.1,12.5,13.9,15.6,2025-05-31 00:00:00,2025-06-01 00:00:00
143,L,W,20,0.0087,11.3462,0.11211,0,8.1,9.1,10.1,11.3,12.7,14.2,15.9,2025-05-31 00:00:00,2025-06-01 00:00:00
144,L,W,21,0.0029,11.5486,0.11261,0,8.2,9.2,10.3,11.5,12.9,14.5,16.2,2025-05-31 00:00:00,2025-06-01 00:00:00
